"","Overall","var","Variables","Resample"
"332",0.129637373967565,"summary_X611",482,"Fold1"
"333",0.12437025608291,"summary_X276",482,"Fold1"
"334",0.120151464190179,"summary_X886",482,"Fold1"
"335",0.113868879927911,"title_X550",482,"Fold1"
"336",0.0929865560171649,"summary_X987",482,"Fold1"
"337",0.0905962406739883,"title_X459",482,"Fold1"
"338",0.0843579750596362,"title_X315",482,"Fold1"
"339",0.0623981875799992,"summary_X250",482,"Fold1"
"340",0.0502038644480873,"summary_X515",482,"Fold1"
"341",0.0465414911024817,"author_X49564957",482,"Fold1"
"342",0.0234243586782425,"summary_X654",482,"Fold1"
"343",0.020659940268049,"summary_X163",482,"Fold1"
"344",0.00691016581440182,"summary_X939",482,"Fold1"
"345",0.00650547769048215,"summary_X137",482,"Fold1"
"346",0,"author_X19284821929",482,"Fold1"
"347",0,"author_X19961997",482,"Fold1"
"348",0,"author_X22923948",482,"Fold1"
"349",0,"author_X60096010",482,"Fold1"
"350",-0.00622566767675261,"author_X16381639",482,"Fold1"
"351",-0.00651501834535703,"summary_X516",482,"Fold1"
"352",-0.015100217374031,"summary_X198",482,"Fold1"
"353",-0.0168142434470807,"summary_X964",482,"Fold1"
"354",-0.0181523467642309,"title_X454",482,"Fold1"
"355",-0.0252529030794029,"summary_X446",482,"Fold1"
"356",-0.0326115407559707,"summary_X126",482,"Fold1"
"357",-0.033738851681639,"title_X1205",482,"Fold1"
"358",-0.0615253735314564,"summary_X161",482,"Fold1"
"359",-0.0708156441268562,"summary_X1160",482,"Fold1"
"360",-0.084915155734583,"summary_X2232",482,"Fold1"
"361",-0.116078505324739,"title_X386",482,"Fold1"
"362",-0.117360716431451,"summary_X441",482,"Fold1"
"363",-0.122785714590915,"summary_X966",482,"Fold1"
"364",-0.137970739301885,"summary_X366",482,"Fold1"
"365",-0.139470281135514,"author_X13231324",482,"Fold1"
"366",-0.143396257707367,"summary_X119",482,"Fold1"
"367",-0.146646800484778,"summary_X125",482,"Fold1"
"368",-0.166284631848802,"title_X912",482,"Fold1"
"369",-0.178078828284904,"summary_X464",482,"Fold1"
"370",-0.194374543117615,"summary_X804",482,"Fold1"
"371",-0.199663178834875,"summary_X1219",482,"Fold1"
"372",-0.20577649429327,"title_X514",482,"Fold1"
"373",-0.22584151838894,"summary_X135",482,"Fold1"
"374",-0.236206031685353,"summary_X764",482,"Fold1"
"375",-0.271469171333012,"summary_X510",482,"Fold1"
"376",-0.297806484544921,"summary_X264",482,"Fold1"
"377",-0.314551244700774,"summary_X1702",482,"Fold1"
"378",-0.319871936082365,"summary_X1270",482,"Fold1"
"379",-0.32424405182289,"summary_X1741",482,"Fold1"
"380",-0.337578283198168,"summary_X2877",482,"Fold1"
"381",-0.345002460146532,"summary_X664",482,"Fold1"
"382",-0.350664912510857,"summary_X696",482,"Fold1"
"383",-0.389120400190912,"title_X559",482,"Fold1"
"384",-0.390721713367759,"title_X759",482,"Fold1"
"385",-0.39578783123023,"summary_X525",482,"Fold1"
"386",-0.430313861095998,"summary_X827",482,"Fold1"
"387",-0.432128884640065,"summary_X359",482,"Fold1"
"388",-0.437150592571508,"summary_X1104",482,"Fold1"
"389",-0.463487008482688,"summary_X284",482,"Fold1"
"390",-0.468479957282701,"summary_X251",482,"Fold1"
"391",-0.474964551966459,"author_X8195985",482,"Fold1"
"392",-0.500967530353727,"summary_X404",482,"Fold1"
"393",-0.521196251387981,"title_X1155",482,"Fold1"
"394",-0.521598819197555,"summary_X936",482,"Fold1"
"395",-0.53653179910431,"summary_X809",482,"Fold1"
"396",-0.55026147484964,"summary_X361",482,"Fold1"
"397",-0.567087387771489,"summary_X668",482,"Fold1"
"398",-0.574593864117986,"summary_X744",482,"Fold1"
"399",-0.575438922465042,"summary_X151",482,"Fold1"
"400",-0.633872212429681,"title_X156",482,"Fold1"
"401",-0.637007052774357,"title_X739",482,"Fold1"
"402",-0.641345298806026,"summary_X838",482,"Fold1"
"403",-0.644980139955523,"summary_X1850",482,"Fold1"
"404",-0.645633052210451,"title_X328",482,"Fold1"
"405",-0.661291239479482,"title_X609",482,"Fold1"
"406",-0.681604274540964,"summary_X738",482,"Fold1"
"407",-0.694299682323169,"summary_X252",482,"Fold1"
"408",-0.697942852633412,"summary_X727",482,"Fold1"
"409",-0.719466383710994,"summary_X924",482,"Fold1"
"410",-0.748662585005768,"summary_X168",482,"Fold1"
"411",-0.770652684113565,"author_X609336221328",482,"Fold1"
"412",-0.795317061558771,"summary_X369",482,"Fold1"
"413",-0.810531162356173,"summary_X437",482,"Fold1"
"414",-0.854279893516328,"title_X270",482,"Fold1"
"415",-0.8629293508029,"summary_X1502",482,"Fold1"
"416",-0.866911801653051,"summary_X113",482,"Fold1"
"417",-0.88248262097397,"title_X117",482,"Fold1"
"418",-0.883683090594515,"title_X278",482,"Fold1"
"419",-0.885121684962126,"summary_X347",482,"Fold1"
"420",-0.901462997409124,"summary_X716",482,"Fold1"
"421",-0.909643285977735,"summary_X178",482,"Fold1"
"422",-0.932068606517795,"summary_X303",482,"Fold1"
"423",-0.942570428793697,"summary_X237",482,"Fold1"
"424",-0.959639075602626,"title_X669",482,"Fold1"
"425",-0.967641172953373,"title_X269",482,"Fold1"
"426",-0.977040974775858,"title_X362",482,"Fold1"
"427",-0.994013952106787,"summary_X853",482,"Fold1"
"428",-1.00100150250438,"author_X61064542",482,"Fold1"
"429",-1.00202221666868,"summary_X282",482,"Fold1"
"430",-1.01263634213546,"summary_X955",482,"Fold1"
"431",-1.02838588424125,"title_X4060",482,"Fold1"
"432",-1.07912779463359,"summary_X188",482,"Fold1"
"433",-1.08932057504999,"summary_X182",482,"Fold1"
"434",-1.10118962839765,"title_X194",482,"Fold1"
"435",-1.13461166398458,"summary_X1689",482,"Fold1"
"436",-1.16568189715847,"title_X1032",482,"Fold1"
"437",-1.18700774532986,"summary_X653",482,"Fold1"
"438",-1.2087994701362,"summary_X279",482,"Fold1"
"439",-1.21826464456736,"summary_X3278",482,"Fold1"
"440",-1.2205349328819,"summary_X281",482,"Fold1"
"441",-1.24174596344324,"summary_X123",482,"Fold1"
"442",-1.27682081655196,"summary_X743",482,"Fold1"
"443",-1.29994518909386,"summary_X590",482,"Fold1"
"444",-1.30408082585698,"title_X1120",482,"Fold1"
"445",-1.31839037073187,"author_X65558717527",482,"Fold1"
"446",-1.35543013107619,"title_X1707",482,"Fold1"
"447",-1.35687663120724,"title_X764",482,"Fold1"
"448",-1.43212440974487,"title_X3074",482,"Fold1"
"449",-1.45479385558225,"title_X247",482,"Fold1"
"450",-1.46565074787641,"title_X1911",482,"Fold1"
